"country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","num_events","volunteers","continent","countrycode"
"Argentinien",2019,"Zebron",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Alba",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Alka",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Tsu",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Terma",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Noel",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Solitas",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Superlay",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Susarelli",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Avellaneda 390 Super",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Tentacion",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Termofren",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Trio",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Argos",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Arcor Cofler",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Todo Sandwich",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Topper",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Trani",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Traviata",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Oderich",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Roux Ocefa",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Oblita",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Johnson & Johnson",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Grido Tentación",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Guaymallen",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"D2",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Hellmanns",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"I-Run",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Impulse",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Jorgito",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Daiwa",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Kampito",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Cunnington",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"La Canasta",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"La Serenísima",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Cumbre Nevada",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Lami – Polimundi",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Dagatti",0,0,0,0,0,0,1,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"GlaxoSmithKline",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Libus",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Fantasio",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Día",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"El Pocillo",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Elf",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Elite",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Elvive",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Emeplas Srl",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"De La Costa",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Gallo",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Fercola",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Dar",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Fresh Baggio",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Fronton",0,0,1,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Frontón",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Nikito",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Levité",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Kolynos",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Life + Quality",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Cremar",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Coto Cola",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Lumilagro",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Coto",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Naranpol",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Lubrax",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Matarazzo",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Mobil",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Magistral",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Compro",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Minerva",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Mc Cain",0,0,1,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Nian",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Miglobs",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Menoyo",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Meltra",0,0,0,0,0,0,0,1,1,4,243,"Amerika","AR"
"Argentinien",2019,"Lime",0,0,1,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Light",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Macucas",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"fortex",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"elvive",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"turimar",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"tregar",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"h2o",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"don remigio",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"villa del sur",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"villa vincencio",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"vino toro",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"wella",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"doble cola",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"dea",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"danica",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"cyndor",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"cotar",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"gigante",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"taconni",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"hellmas",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"matarazo",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"oral B",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"nikito",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"poet",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"pritty",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"muelita",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
